Country,Energy Type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,All,1980,85840.45479728245,86847.86842127035,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,4946.62713
World,Coal,1980,23051.837375656167,23479.152657192255,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,1409.790188
World,Natural Gas,1980,15786.338638475814,16048.878235983313,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,1081.593377
World,Petroleum & Other Liquids,1980,38704.14348848862,39011.01512719278,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,2455.243565
World,Nuclear,1980,2220.2186417341895,2220.2186417341895,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,0
World,Renewables,1980,6067.258156326293,6088.603759167808,27770.910281,4298126.5224,232523589193453.53,35987866284.66385,0
World,All,1981,84815.06713836995,85368.01941478853,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,18701.974390117
World,Coal,1981,23141.941234386264,23580.711829585907,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,7474.451783472067
World,Natural Gas,1981,15795.189434030954,16286.995887698484,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,2842.337165239
World,Petroleum & Other Liquids,1981,37164.67420507393,36762.527168576555,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,8385.185441405567
World,Nuclear,1981,2499.0619926947056,2499.0619926947056,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,0
World,Renewables,1981,6187.704357676271,6238.722536232883,28665.819138,4377059.5593,225602941397336.66,34447908378.11397,0
World,All,1982,84900.08134546451,85025.94492539886,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,18327.413968122
World,Coal,1982,23569.45874638314,24441.81343550512,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,7500.570037339787
World,Natural Gas,1982,15842.031562578084,16264.13221690517,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,2843.874298181
World,Petroleum & Other Liquids,1982,36318.6222067165,35099.013566711015,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,7982.969632596297
World,Nuclear,1982,2786.427836174234,2786.427836174234,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,0
World,Renewables,1982,6366.180625149261,6434.5578701033055,28801.769507,4456829.97443,221787080270320.84,34319672860.719223,0
World,All,1983,86084.2419005508,85883.49442825197,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,18284.002342435
World,Coal,1983,24216.8065873757,24526.04893485874,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,7637.057172907796
World,Natural Gas,1983,16162.802894979266,16445.96198650686,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,2854.97311412
World,Petroleum & Other Liquids,1983,35817.77901898524,34954.35101810644,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,7791.972055406164
World,Nuclear,1983,3141.2365745785046,3141.2365745785046,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,0
World,Renewables,1983,6725.200503596743,6815.895914201422,29617.577192,4537793.89383,220868151484657.22,33839842558.739594,0
World,All,1984,90041.50427424545,90535.81207267023,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,18478.512213667
World,Coal,1984,25308.451586992946,25693.37164678001,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,7847.456002190892
World,Natural Gas,1984,17831.292764721577,18099.658271038665,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,2913.476944206
World,Petroleum & Other Liquids,1984,36169.97933999873,35916.98111572018,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,7717.579267270882
World,Nuclear,1984,3808.343637561075,3808.343637561075,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,0
World,Renewables,1984,6899.83536723527,7017.457401570292,31097.252511,4572800.78237,229252808149551.94,33711255362.381824,0
World,All,1985,92442.57184772381,92746.51980328065,32289.040681,4657357.404,231092928565824.53,33332745079.08834,19602.547366601
World,Coal,1985,26203.27211362509,26868.686136971053,32289.040681,4657357.404,231092928565824.53,33332745079.08834,8200.682660904273
World,Natural Gas,1985,18572.40073792193,18793.042528312628,32289.040681,4657357.404,231092928565824.53,33332745079.08834,3214.469613122
World,Petroleum & Other Liquids,1985,36185.953210967506,35501.1024273738,32289.040681,4657357.404,231092928565824.53,33332745079.08834,8187.395092579148
World,Nuclear,1985,4483.581512672224,4483.581512672224,32289.040681,4657357.404,231092928565824.53,33332745079.08834,0
World,Renewables,1985,6975.73689919373,7100.107197950952,32289.040681,4657357.404,231092928565824.53,33332745079.08834,0
World,All,1986,94423.05986078636,95761.87050558117,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,20027.312840344
World,Coal,1986,26503.10264256061,27561.752487831545,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,8492.224771197689
World,Natural Gas,1986,18822.310896902723,19145.936840878476,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,3349.517700309
World,Petroleum & Other Liquids,1986,37221.90485458063,37087.805484046134,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,8185.570368835878
World,Nuclear,1986,4761.7909475357965,4761.7909475357965,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,0
World,Renewables,1986,7100.673514360107,7204.584745289219,33425.371024,4745135.92538,231677370956331.47,32889406529.941933,0
World,All,1987,97518.29818913664,97998.42496047776,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,20511.371402668
World,Coal,1987,27563.487057944247,28214.876912293345,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,8592.516827712843
World,Natural Gas,1987,19800.45884468893,20062.499588636696,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,3395.116049334
World,Petroleum & Other Liquids,1987,37884.0577417037,37342.014280036456,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,8523.738525619945
World,Nuclear,1987,5170.9132369602385,5170.9132369602385,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,0
World,Renewables,1987,7070.882019282481,7208.120942551036,34792.987235,4835605.8458,234795313083389.44,32632368725.452415,0
World,All,1988,101273.89586226719,101816.65958142377,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,21163.840556468
World,Coal,1988,28390.725886015665,28862.95262531808,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,8930.92482470953
